timestamp,currentmode,newdpressevent,newpressevent,newtempevent_1,newtempevent_2,newtempevent_3,servostatusevent,servoventstatusevent
13:13:09.197868,1,0.92,45.44,6.3,5.3,4.6,0,0
13:13:09.302595,1,0.92,45.37,6.3,5.3,4.6,0,0
13:13:09.406992,1,0.88,45.41,6.3,5.3,4.6,0,0
13:13:09.512065,1,1.0,45.32,6.3,5.3,4.6,0,0
13:13:09.617439,1,1.08,45.44,6.3,5.3,4.6,0,0
13:13:09.722245,1,0.9,45.4,6.3,5.3,4.6,0,0
13:13:09.827924,1,0.96,45.41,6.3,5.3,4.6,0,0
13:13:09.932567,1,0.96,45.4,6.3,5.3,4.6,0,0
13:13:10.037400,1,0.95,45.46,6.3,5.3,4.6,0,0
13:13:10.144018,1,0.86,45.44,6.3,5.3,4.6,0,0
13:13:10.249275,1,1.03,45.56,6.3,5.3,4.6,0,0
13:13:10.354805,1,1.04,45.3,6.3,5.3,4.6,0,0
13:13:10.459754,1,0.98,45.43,6.3,5.3,4.6,0,0
13:13:10.564826,1,1.02,45.48,6.3,5.3,4.6,0,0
13:13:10.669472,1,0.91,45.28,6.3,5.3,4.6,0,0
13:13:10.774577,1,1.06,45.49,6.3,5.3,4.6,0,0
13:13:10.878562,1,1.1,45.41,6.3,5.3,4.6,0,0
13:13:10.983305,1,1.06,45.44,6.3,5.3,4.6,0,0
13:13:11.088917,1,0.94,45.5,6.3,5.3,4.6,0,0
13:13:11.194123,1,1.08,45.64,6.3,5.3,4.6,0,0
13:13:11.299646,1,0.91,45.41,6.3,5.3,4.6,0,0
13:13:11.404566,1,0.94,45.4,6.3,5.3,4.6,0,0
13:13:11.509386,1,0.84,45.48,6.3,5.3,4.6,0,0
13:13:11.614614,1,0.99,45.39,6.3,5.3,4.6,0,0
13:13:11.719175,1,0.89,45.42,6.3,5.3,4.6,0,0
13:13:11.824225,1,0.93,45.53,6.3,5.3,4.6,0,0
13:13:11.928848,1,0.92,45.44,6.3,5.3,4.6,0,0
13:13:12.034073,1,0.97,45.44,6.3,5.3,4.6,0,0
13:13:12.139168,1,1.02,45.37,6.3,5.3,4.6,0,0
13:13:12.243673,1,1.02,45.46,6.3,5.3,4.6,0,0
13:13:12.348434,1,0.94,45.4,6.3,5.3,4.6,0,0
13:13:12.453110,1,0.97,45.5,6.3,5.3,4.6,0,0
13:13:12.558733,1,1.01,45.5,6.3,5.3,4.6,0,0
13:13:12.664677,1,1.02,45.56,6.3,5.3,4.6,0,0
13:13:12.771058,1,1.02,45.29,6.3,5.3,4.6,0,0
13:13:12.875851,1,1.08,45.48,6.3,5.3,4.6,0,0
13:13:12.980306,1,0.92,45.47,6.3,5.3,4.6,0,0
13:13:13.084900,1,0.98,45.5,6.3,5.3,4.6,0,0
13:13:13.189614,1,1.02,45.41,6.3,5.3,4.6,0,0
13:13:13.294083,1,0.84,45.53,6.3,5.3,4.6,0,0
13:13:13.398939,1,0.86,45.57,6.3,5.3,4.6,0,0
13:13:13.503681,1,1.02,45.64,6.3,5.3,4.6,0,0
13:13:13.609112,1,0.94,45.47,6.3,5.3,4.6,0,0
13:13:13.714475,1,0.96,45.57,6.3,5.3,4.6,0,0
13:13:13.819857,1,1.09,45.52,6.3,5.3,4.6,0,0
13:13:13.925623,1,1.06,45.48,6.3,5.3,4.6,0,0
13:13:14.029584,1,0.96,45.51,6.3,5.3,4.6,0,0
13:13:14.135007,1,0.93,45.5,6.3,5.3,4.6,0,0
13:13:14.239486,1,0.94,45.54,6.3,5.3,4.6,0,0
13:13:14.344144,1,0.92,45.46,6.3,5.3,4.6,0,0
13:13:14.449461,1,1.03,45.53,6.3,5.3,4.6,0,0
13:13:14.554380,1,0.99,45.44,6.3,5.3,4.6,0,0
13:13:14.658938,1,0.94,45.52,6.3,5.3,4.6,0,0
13:13:14.763587,1,0.88,45.55,6.3,5.3,4.6,0,0
13:13:14.868990,1,1.04,45.5,6.3,5.3,4.6,0,0
13:13:14.973739,1,0.94,45.53,6.3,5.3,4.6,0,0
13:13:15.078176,1,1.01,45.46,6.3,5.3,4.6,0,0
13:13:15.184720,1,0.98,45.53,6.3,5.3,4.6,0,0
13:13:15.289910,1,1.0,45.5,6.3,5.3,4.6,0,0
13:13:15.395331,1,0.87,45.5,6.3,5.3,4.6,0,0
13:13:15.500837,1,0.94,45.5,6.3,5.3,4.6,0,0
13:13:15.607495,1,0.94,45.61,6.3,5.3,4.6,0,0
13:13:15.712023,1,0.92,45.54,6.3,5.3,4.6,0,0
13:13:15.817404,1,0.97,45.48,6.3,5.3,4.6,0,0
13:13:15.922154,1,1.02,45.44,6.3,5.3,4.6,0,0
13:13:16.027752,1,1.0,45.53,6.3,5.3,4.6,0,0
13:13:16.133951,1,0.92,45.42,6.3,5.3,4.6,0,0
13:13:16.239412,1,0.97,45.6,6.3,5.3,4.6,0,0
13:13:16.344280,1,0.99,45.48,6.3,5.3,4.6,0,0
13:13:16.449548,1,0.95,45.6,6.3,5.3,4.6,0,0
13:13:16.554799,1,0.99,45.55,6.3,5.3,4.6,0,0
13:13:16.659813,1,0.94,45.5,6.3,5.3,4.6,0,0
13:13:16.764374,1,1.0,45.53,6.3,5.3,4.6,0,0
13:13:16.869617,1,0.95,45.56,6.3,5.3,4.6,0,0
13:13:16.975118,1,0.96,45.51,6.3,5.3,4.6,0,0
13:13:17.079996,1,1.03,45.69,6.3,5.3,4.6,0,0
13:13:17.184701,1,0.9,45.47,6.3,5.3,4.6,0,0
13:13:17.289368,1,0.97,45.48,6.3,5.3,4.6,0,0
13:13:17.394286,1,0.99,45.54,6.3,5.3,4.6,0,0
13:13:17.498892,1,1.01,45.56,6.3,5.3,4.6,0,0
13:13:17.604172,1,0.98,45.56,6.3,5.3,4.6,0,0
13:13:17.708784,1,0.82,45.64,6.3,5.3,4.6,0,0
