ts,height,velocity,acceleration
54.4,164.34707641601562,-11.77184772491455,0
54.41,164.21604919433594,-11.78564739227295,0
54.42,164.08758544921875,-11.796651840209961,0
54.43,163.93028259277344,-11.8374662399292,0
54.44,163.7758026123047,-11.874918937683105,0
54.45,163.6241455078125,-11.909071922302246,0
54.46,163.47157287597656,-11.943814277648926,0
54.47,163.3125762939453,-11.984871864318848,0
54.48,163.15643310546875,-12.022531509399414,0
54.49,163.0031280517578,-12.056855201721191,0
54.5,162.85263061523438,-12.08790397644043,0
54.51,162.70492553710938,-12.115738868713379,0
54.52,162.5599822998047,-12.140419960021973,0
54.53,162.410400390625,-12.16966438293457,0
54.54,162.25990295410156,-12.199545860290527,0
54.55,162.11221313476562,-12.226213455200195,0
54.56,161.96728515625,-12.249727249145508,0
54.57,161.81588745117188,-12.279720306396484,0
54.58,161.66729736328125,-12.306480407714844,0
54.59,161.5178680419922,-12.333840370178223,0
54.6,161.3693389892578,-12.359981536865234,0
54.61,161.2255096435547,-12.380979537963867,0
54.62,161.0880584716797,-12.395135879516602,0
54.63,160.9532928466797,-12.406359672546387,0
54.64,160.81753540039062,-12.41848087310791,0
54.65,160.6844482421875,-12.427706718444824,0
54.66,160.55210876464844,-12.436066627502441,0
54.67,160.4224090576172,-12.441604614257812,0
54.68,160.29721069335938,-12.442404747009277,0
54.69,160.17459106445312,-12.440536499023438,0
54.7,160.04896545410156,-12.441800117492676,0
54.71,159.9259033203125,-12.440385818481445,0
54.72,159.80538940429688,-12.436348915100098,0
54.73,159.67633056640625,-12.441232681274414,0
54.74,159.54986572265625,-12.443365097045898,0
54.75,159.4259796142578,-12.442802429199219,0
54.76,159.30462646484375,-12.43959903717041,0
54.77,159.18582153320312,-12.43381118774414,0
54.78,159.06948852539062,-12.425492286682129,0
54.79,158.9556427001953,-12.414695739746094,0
54.8,158.84423828125,-12.40147590637207,0
54.81,158.73526000976562,-12.385885238647461,0
54.82,158.63235473632812,-12.364144325256348,0
54.83,158.53176879882812,-12.340215682983398,0
54.84,158.43350219726562,-12.314148902893066,0
54.85,158.32273864746094,-12.301311492919922,0
54.86,158.2032928466797,-12.297600746154785,0
54.87,158.07159423828125,-12.306662559509277,0
54.88,157.9425048828125,-12.312915802001953,0
54.89,157.8141632080078,-12.318331718444824,0
54.9,157.68101501464844,-12.328669548034668,0
54.91,157.5504913330078,-12.336167335510254,0
54.92,157.40782165527344,-12.356197357177734,0
54.93,157.26788330078125,-12.373183250427246,0
54.94,157.12701416015625,-12.390954971313477,0
54.95,156.99618530273438,-12.398120880126953,0
54.96,156.8679962158203,-12.402498245239258,0
54.97,156.7350616455078,-12.411742210388184,0
54.98,156.61209106445312,-12.410552024841309,0
54.99,156.48434448242188,-12.41434097290039,0
55,156.3480987548828,-12.426894187927246,0
55.01,156.21453857421875,-12.436541557312012,0
55.02,156.08363342285156,-12.443340301513672,0
55.03,155.95533752441406,-12.447348594665527,0
55.04,155.81488037109375,-12.463936805725098,0
55.05,155.69190979003906,-12.462213516235352,0
55.06,155.57147216796875,-12.457870483398438,0
55.07,155.45355224609375,-12.45096206665039,0
55.08,155.33811950683594,-12.44154167175293,0
55.09,155.2251434326172,-12.42966365814209,0
55.1,155.11460876464844,-12.415380477905273,0
55.11,154.9990997314453,-12.406401634216309,0
55.12,154.8860626220703,-12.394963264465332,0
55.13,154.77545166015625,-12.381118774414062,0
55.14,154.64141845703125,-12.391721725463867,0
55.15,154.50819396972656,-12.40138053894043,0
55.16,154.3776092529297,-12.408199310302734,0
55.17,154.2496337890625,-12.412233352661133,0
55.18,154.12425231933594,-12.41353988647461,0
55.19,154.00143432617188,-12.412174224853516,0
55.2,153.88116455078125,-12.408191680908203,0
55.21,153.7578582763672,-12.407390594482422,0
55.22,153.63710021972656,-12.403962135314941,0
55.23,153.5152130126953,-12.401734352111816,0
55.24,153.39947509765625,-12.393136978149414,0
55.25,153.28256225585938,-12.385848045349121,0
55.26,153.16075134277344,-12.383727073669434,0
55.27,153.0414581298828,-12.379011154174805,0
55.28,152.92465209960938,-12.371753692626953,0
55.29,152.7974090576172,-12.375409126281738,0
55.3,152.67274475097656,-12.376352310180664,0
55.31,152.5450897216797,-12.38038158416748,0
55.32,152.42001342773438,-12.38169002532959,0
55.33,152.2882843017578,-12.389904022216797,0
55.34,152.15733337402344,-12.397223472595215,0
55.35,152.02899169921875,-12.401751518249512,0
55.36,151.90139770507812,-12.4054594039917,0
55.37,151.77639770507812,-12.406447410583496,0
55.38,151.644775390625,-12.414286613464355,0
55.39,151.51393127441406,-12.421233177185059,0
55.4,151.3635711669922,-12.44836139678955,0
55.41,151.21603393554688,-12.47227954864502,0
55.42,151.04367065429688,-12.521706581115723,0
55.43,150.90199279785156,-12.538792610168457,0
55.44,150.7354278564453,-12.581514358520508,0
55.45,150.55715942382812,-12.63593578338623,0
55.46,150.396728515625,-12.671289443969727,0
55.47,150.23924255371094,-12.703216552734375,0
55.48,150.08468627929688,-12.731781005859375,0
55.49,149.9348602294922,-12.755131721496582,0
55.5,149.7878875732422,-12.775285720825195,0
55.51,149.64373779296875,-12.792304039001465,0
55.52,149.5023651123047,-12.806246757507324,0
55.53,149.36376953125,-12.817173957824707,0
55.54,149.2371368408203,-12.81557559967041,0
55.55,149.10389709472656,-12.820849418640137,0
55.56,148.9733428955078,-12.823283195495605,0
55.57,148.84544372558594,-12.822935104370117,0
55.58,148.7201690673828,-12.81986141204834,0
55.59,148.5919647216797,-12.819862365722656,0
55.6,148.4663848876953,-12.817131996154785,0
55.61,148.337890625,-12.817469596862793,0
55.62,148.1991729736328,-12.828410148620605,0
55.63,148.06320190429688,-12.836393356323242,0
55.64,147.91517639160156,-12.856791496276855,0
55.65,147.76998901367188,-12.874031066894531,0
55.66,147.62762451171875,-12.888174057006836,0
55.67,147.488037109375,-12.899280548095703,0
55.68,147.3511962890625,-12.907410621643066,0
55.69,147.21710205078125,-12.912623405456543,0
55.7,147.08570861816406,-12.91497802734375,0
55.71,146.93675231933594,-12.935530662536621,0
55.72,146.78880310058594,-12.95482063293457,0
55.73,146.64370727539062,-12.970953941345215,0
55.74,146.50326538085938,-12.982076644897461,0
55.75,146.3582305908203,-12.997862815856934,0
55.76,146.22340393066406,-13.002897262573242,0
55.77,146.09127807617188,-13.005058288574219,0
55.78,145.95448303222656,-13.012062072753906,0
55.79,145.8333282470703,-13.002750396728516,0
55.8,145.7184600830078,-12.987030982971191,0
55.81,145.60609436035156,-12.968867301940918,0
55.82,145.50723266601562,-12.936885833740234,0
55.83,145.3997039794922,-12.914233207702637,0
55.84,145.2946014404297,-12.889293670654297,0
55.85,145.16796875,-12.886946678161621,0
55.86,145.04396057128906,-12.881901741027832,0
55.87,144.9225616455078,-12.874216079711914,0
55.88,144.79449462890625,-12.873517990112305,0
55.89,144.6598358154297,-12.879660606384277,0
55.9,144.5278778076172,-12.882932662963867,0
55.91,144.3986053466797,-12.883393287658691,0
55.92,144.27198791503906,-12.881099700927734,0
55.93,144.144287109375,-12.879937171936035,0
55.94,144.0100555419922,-12.885567665100098,0
55.95,143.8693084716797,-12.897906303405762,0
55.96,143.72763061523438,-12.911072731018066,0
55.97,143.57034301757812,-12.940302848815918,0
55.98,143.41415405273438,-12.96808910369873,0
55.99,143.2627410888672,-12.990628242492676,0
56,143.11236572265625,-13.011850357055664,0
56.01,142.96119689941406,-13.03369140625,0
56.02,142.81106567382812,-13.054222106933594,0
56.03,142.663818359375,-13.071550369262695,0
