ts,id,T,P
2.175,BARO0,48.64,92633
2.185,BARO0,48.63,92595
2.195,BARO0,48.65,92597
2.205,BARO0,48.66,92596
2.215,BARO0,48.61,92549
2.225,BARO0,48.62,92561
2.235,BARO0,48.62,92590
2.245,BARO0,48.62,92535
2.255,BARO0,48.64,92555
2.265,BARO0,48.65,92557
2.275,BARO0,48.64,92538
2.285,BARO0,48.65,92507
2.295,BARO0,48.64,92492
2.305,BARO0,48.63,92490
2.315,BARO0,48.65,92499
2.325,BARO0,48.66,92485
2.335,BARO0,48.66,92480
2.345,BARO0,48.63,92446
2.355,BARO0,48.64,92449
2.365,BARO0,48.65,92441
2.375,BARO0,48.62,92415
2.385,BARO0,48.63,92406
2.395,BARO0,48.64,92420
2.405,BARO0,48.64,92393
2.415,BARO0,48.63,92358
2.425,BARO0,48.62,92381
2.435,BARO0,48.63,92371
2.445,BARO0,48.65,92347
2.455,BARO0,48.63,92368
2.465,BARO0,48.64,92363
2.475,BARO0,48.61,92319
2.485,BARO0,48.63,92307
2.495,BARO0,48.63,92313
2.505,BARO0,48.64,92332
2.515,BARO0,48.65,92283
2.525,BARO0,48.65,92270
2.535,BARO0,48.63,92261
2.545,BARO0,48.64,92296
2.555,BARO0,48.64,92252
2.565,BARO0,48.64,92266
2.575,BARO0,48.63,92237
2.585,BARO0,48.63,92220
2.595,BARO0,48.62,92197
2.605,BARO0,48.64,92200
2.615,BARO0,48.63,92209
2.625,BARO0,48.64,92177
2.635,BARO0,48.63,92187
2.645,BARO0,48.62,92146
2.655,BARO0,48.63,92179
2.665,BARO0,48.63,92131
2.675,BARO0,48.64,92141
2.685,BARO0,48.65,92112
2.695,BARO0,48.63,92103
2.705,BARO0,48.64,92086
2.715,BARO0,48.65,92078
2.725,BARO0,48.64,92093
2.735,BARO0,48.61,92081
2.745,BARO0,48.62,92057
2.755,BARO0,48.64,92041
2.765,BARO0,48.62,92056
2.775,BARO0,48.62,92003
2.785,BARO0,48.65,92028
2.795,BARO0,48.64,92057
2.805,BARO0,48.65,92006
2.815,BARO0,48.65,92013
2.825,BARO0,48.66,91970
2.835,BARO0,48.63,91957
2.845,BARO0,48.63,91991
2.855,BARO0,48.62,91946
2.865,BARO0,48.63,91927
2.875,BARO0,48.62,91905
2.885,BARO0,48.63,91898
2.895,BARO0,48.65,91918
2.905,BARO0,48.63,91891
2.915,BARO0,48.65,91894
2.925,BARO0,48.65,91897
2.935,BARO0,48.63,91856
2.945,BARO0,48.65,91875
2.955,BARO0,48.63,91842
2.965,BARO0,48.63,91866
2.975,BARO0,48.63,91806
2.985,BARO0,48.63,91815
2.995,BARO0,48.62,91835
3.005,BARO0,48.63,91796
3.015,BARO0,48.63,91785
3.025,BARO0,48.64,91753
3.035,BARO0,48.63,91777
3.045,BARO0,48.64,91768
3.055,BARO0,48.63,91758
3.065,BARO0,48.62,91728
3.075,BARO0,48.63,91753
3.085,BARO0,48.63,91715
3.095,BARO0,48.64,91708
3.105,BARO0,48.64,91715
3.115,BARO0,48.64,91694
3.125,BARO0,48.64,91686
3.135,BARO0,48.63,91687
3.145,BARO0,48.64,91679
3.155,BARO0,48.64,91651
3.165,BARO0,48.64,91666
3.175,BARO0,48.63,91629
3.185,BARO0,48.62,91607
3.195,BARO0,48.64,91609
3.205,BARO0,48.62,91586
3.215,BARO0,48.64,91617
3.225,BARO0,48.62,91576
3.235,BARO0,48.63,91592
3.245,BARO0,48.64,91556
3.255,BARO0,48.64,91537
3.265,BARO0,48.62,91539
3.275,BARO0,48.63,91570
3.285,BARO0,48.63,91518
3.295,BARO0,48.64,91521
3.305,BARO0,48.65,91533
3.315,BARO0,48.63,91496
3.325,BARO0,48.65,91495
3.335,BARO0,48.62,91446
3.345,BARO0,48.64,91450
3.355,BARO0,48.62,91464
3.365,BARO0,48.62,91474
3.375,BARO0,48.63,91445
3.385,BARO0,48.64,91387
3.395,BARO0,48.63,91439
3.405,BARO0,48.65,91427
3.415,BARO0,48.64,91460
3.425,BARO0,48.63,91371
3.435,BARO0,48.64,91392
3.445,BARO0,48.63,91451
3.455,BARO0,48.63,91335
3.465,BARO0,48.64,91358
3.475,BARO0,48.63,91321
3.485,BARO0,48.63,91325
3.495,BARO0,48.63,91326
3.505,BARO0,48.62,91294
3.515,BARO0,48.63,91335
3.525,BARO0,48.62,91283
3.535,BARO0,48.64,91273
3.545,BARO0,48.63,91285
3.555,BARO0,48.63,91287
3.565,BARO0,48.64,91263
3.575,BARO0,48.64,91232
3.585,BARO0,48.64,91247
3.595,BARO0,48.65,91245
3.605,BARO0,48.63,91239
3.615,BARO0,48.65,91213
3.625,BARO0,48.64,91224
3.635,BARO0,48.63,91176
3.645,BARO0,48.62,91187
3.655,BARO0,48.63,91156
3.665,BARO0,48.62,91237
3.675,BARO0,48.63,91124
3.685,BARO0,48.64,91154
3.695,BARO0,48.63,91124
3.705,BARO0,48.64,91123
3.715,BARO0,48.63,91102
3.725,BARO0,48.63,91083
3.735,BARO0,48.64,91120
3.745,BARO0,48.63,91079
3.755,BARO0,48.63,91112
3.765,BARO0,48.62,91044
3.775,BARO0,48.64,91092
3.785,BARO0,48.62,91041
3.795,BARO0,48.63,91036
3.805,BARO0,48.62,91051
3.815,BARO0,48.62,91082
3.825,BARO0,48.62,90999
3.835,BARO0,48.61,91004
3.845,BARO0,48.62,91058
3.855,BARO0,48.63,90968
3.865,BARO0,48.64,90994
3.875,BARO0,48.63,90968
3.885,BARO0,48.62,90931
3.895,BARO0,48.63,90965
3.905,BARO0,48.63,91048
3.915,BARO0,48.64,90943
3.925,BARO0,48.62,90905
3.935,BARO0,48.64,90913
3.945,BARO0,48.64,90911
3.955,BARO0,48.63,90881
3.965,BARO0,48.63,90879
3.975,BARO0,48.63,90883
3.985,BARO0,48.63,90844
3.995,BARO0,48.65,90945
4.005,BARO0,48.61,90835
4.015,BARO0,48.61,90843
4.025,BARO0,48.64,90821
4.035,BARO0,48.62,90854
4.045,BARO0,48.62,90800
4.055,BARO0,48.62,90785
4.065,BARO0,48.65,90790
4.075,BARO0,48.64,90776
4.085,BARO0,48.63,90823
4.095,BARO0,48.63,90759
4.105,BARO0,48.64,90833
4.115,BARO0,48.62,90730
4.125,BARO0,48.61,90767
4.135,BARO0,48.63,90717
4.145,BARO0,48.64,90705
4.155,BARO0,48.63,90679
4.165,BARO0,48.63,90693
4.175,BARO0,48.63,90753
4.185,BARO0,48.63,90697
4.195,BARO0,48.63,90671
4.205,BARO0,48.62,90658
4.215,BARO0,48.63,90776
4.225,BARO0,48.65,90640
4.235,BARO0,48.65,90601
4.245,BARO0,48.62,90684
4.255,BARO0,48.62,90659
4.265,BARO0,48.63,90593
4.275,BARO0,48.62,90617
4.285,BARO0,48.63,90592
4.295,BARO0,48.62,90648
4.305,BARO0,48.65,90564
4.315,BARO0,48.62,90616
4.325,BARO0,48.63,90505
4.335,BARO0,48.64,90543
4.345,BARO0,48.64,90583
4.355,BARO0,48.63,90577
4.365,BARO0,48.62,90473
4.375,BARO0,48.63,90624
4.385,BARO0,48.63,90484
4.395,BARO0,48.62,90504
4.405,BARO0,48.62,90514
4.415,BARO0,48.62,90495
4.425,BARO0,48.61,90456
4.435,BARO0,48.63,90432
4.445,BARO0,48.63,90412
4.455,BARO0,48.62,90411
4.465,BARO0,48.63,90463
4.475,BARO0,48.63,90438
4.485,BARO0,48.62,90433
4.495,BARO0,48.63,90507
4.505,BARO0,48.63,90384
4.515,BARO0,48.64,90359
4.525,BARO0,48.64,90399
4.535,BARO0,48.63,90355
4.545,BARO0,48.62,90338
4.555,BARO0,48.62,90326
4.565,BARO0,48.63,90375
4.575,BARO0,48.63,90346
4.585,BARO0,48.63,90305
4.595,BARO0,48.65,90313
4.605,BARO0,48.61,90335
4.615,BARO0,48.64,90349
4.625,BARO0,48.63,90265
4.635,BARO0,48.64,90251
4.645,BARO0,48.63,90343
4.655,BARO0,48.63,90310
4.665,BARO0,48.61,90290
4.675,BARO0,48.63,90248
4.685,BARO0,48.62,90252
4.695,BARO0,48.63,90261
4.705,BARO0,48.65,90193
4.715,BARO0,48.65,90207
4.725,BARO0,48.63,90194
4.735,BARO0,48.62,90259
4.745,BARO0,48.63,90174
4.755,BARO0,48.63,90214
4.765,BARO0,48.61,90176
4.775,BARO0,48.64,90100
4.785,BARO0,48.63,90181
4.795,BARO0,48.63,90109
4.805,BARO0,48.62,90134
4.815,BARO0,48.64,90105
4.825,BARO0,48.63,90121
4.835,BARO0,48.62,90087
4.845,BARO0,48.63,90129
4.855,BARO0,48.62,90089
4.865,BARO0,48.61,90108
4.875,BARO0,48.63,90044
4.885,BARO0,48.65,90082
4.895,BARO0,48.62,90053
4.905,BARO0,48.63,90066
4.915,BARO0,48.63,90014
4.925,BARO0,48.63,90050
4.935,BARO0,48.61,90029
4.945,BARO0,48.62,89989
4.955,BARO0,48.61,89996
4.965,BARO0,48.64,90017
4.975,BARO0,48.62,89963
4.985,BARO0,48.65,89963
4.995,BARO0,48.64,89993
5.005,BARO0,48.63,89973
5.015,BARO0,48.62,89931
5.025,BARO0,48.63,89917
5.035,BARO0,48.65,89953
5.045,BARO0,48.64,89913
5.055,BARO0,48.64,89914
5.065,BARO0,48.62,89880
5.075,BARO0,48.62,89903
5.085,BARO0,48.64,89916
5.095,BARO0,48.65,89916
5.105,BARO0,48.63,89831
5.115,BARO0,48.62,89914
5.125,BARO0,48.62,89848
5.135,BARO0,48.63,89829
5.145,BARO0,48.63,89860
5.155,BARO0,48.63,89863
5.165,BARO0,48.62,89809
5.175,BARO0,48.63,89826
5.185,BARO0,48.64,89805
5.195,BARO0,48.62,89790
5.205,BARO0,48.65,89776
5.215,BARO0,48.63,89777
5.225,BARO0,48.63,89785
5.235,BARO0,48.63,89735
5.245,BARO0,48.63,89739
5.255,BARO0,48.62,89742
5.265,BARO0,48.63,89714
5.275,BARO0,48.63,89761
5.285,BARO0,48.63,89737
5.295,BARO0,48.62,89694
5.305,BARO0,48.62,89716
5.315,BARO0,48.62,89675
5.325,BARO0,48.63,89686
5.335,BARO0,48.63,89673
5.345,BARO0,48.63,89661
5.355,BARO0,48.63,89650
5.365,BARO0,48.63,89640
5.375,BARO0,48.63,89636
5.385,BARO0,48.64,89655
5.395,BARO0,48.64,89617
5.405,BARO0,48.64,89607
5.415,BARO0,48.63,89602
5.425,BARO0,48.64,89602
5.435,BARO0,48.62,89606
5.445,BARO0,48.64,89610
5.455,BARO0,48.63,89575
5.465,BARO0,48.64,89580
5.475,BARO0,48.63,89585
5.485,BARO0,48.63,89559
5.495,BARO0,48.62,89546
5.505,BARO0,48.65,89565
5.515,BARO0,48.63,89539
5.525,BARO0,48.61,89520
5.535,BARO0,48.65,89516
5.545,BARO0,48.63,89511
5.555,BARO0,48.63,89518
5.565,BARO0,48.63,89512
5.575,BARO0,48.63,89496
5.585,BARO0,48.64,89486
5.595,BARO0,48.64,89479
5.605,BARO0,48.62,89480
5.615,BARO0,48.61,89449
5.625,BARO0,48.63,89457
5.635,BARO0,48.62,89460
5.645,BARO0,48.64,89416
5.655,BARO0,48.63,89436
5.665,BARO0,48.62,89443
5.675,BARO0,48.63,89406
5.685,BARO0,48.64,89419
5.695,BARO0,48.65,89388
5.705,BARO0,48.64,89414
5.715,BARO0,48.63,89375
5.725,BARO0,48.63,89367
5.735,BARO0,48.62,89332
5.745,BARO0,48.63,89369
5.755,BARO0,48.61,89324
5.765,BARO0,48.64,89312
5.775,BARO0,48.63,89294
5.785,BARO0,48.64,89319
5.795,BARO0,48.61,89305
5.805,BARO0,48.62,89287
5.815,BARO0,48.62,89276
5.825,BARO0,48.62,89303
5.835,BARO0,48.62,89291
5.845,BARO0,48.62,89278
5.855,BARO0,48.62,89274
5.865,BARO0,48.64,89249
5.875,BARO0,48.65,89225
5.885,BARO0,48.63,89237
5.895,BARO0,48.64,89236
5.905,BARO0,48.62,89207
5.915,BARO0,48.62,89213
5.925,BARO0,48.64,89230
5.935,BARO0,48.62,89219
5.945,BARO0,48.62,89232
5.955,BARO0,48.63,89183
5.965,BARO0,48.64,89175
5.975,BARO0,48.64,89186
5.985,BARO0,48.62,89187
5.995,BARO0,48.64,89197
6.005,BARO0,48.62,89155
6.015,BARO0,48.63,89150
6.025,BARO0,48.64,89151
6.035,BARO0,48.64,89146
6.045,BARO0,48.64,89150
6.055,BARO0,48.64,89103
6.065,BARO0,48.64,89120
6.075,BARO0,48.64,89130
6.085,BARO0,48.64,89088
6.095,BARO0,48.64,89095
6.105,BARO0,48.63,89088
6.115,BARO0,48.62,89070
6.125,BARO0,48.64,89050
6.135,BARO0,48.64,89068
6.145,BARO0,48.63,89023
6.155,BARO0,48.63,89065
6.165,BARO0,48.61,89018
6.175,BARO0,48.63,89000
6.185,BARO0,48.63,89002
6.195,BARO0,48.62,88988
6.205,BARO0,48.64,88989
6.215,BARO0,48.64,89013
6.225,BARO0,48.63,89009
6.235,BARO0,48.63,88984
6.245,BARO0,48.62,89010
6.255,BARO0,48.63,88968
6.265,BARO0,48.62,88967
6.275,BARO0,48.63,88974
6.285,BARO0,48.64,88954
6.295,BARO0,48.64,88936
6.305,BARO0,48.64,88942
6.315,BARO0,48.64,88904
6.325,BARO0,48.64,88967
6.335,BARO0,48.63,88896
6.345,BARO0,48.62,88912
6.355,BARO0,48.63,88903
6.365,BARO0,48.62,88886
6.375,BARO0,48.62,88894
6.385,BARO0,48.64,88887
6.395,BARO0,48.64,88872
6.405,BARO0,48.63,88863
6.415,BARO0,48.65,88876
6.425,BARO0,48.65,88848
6.435,BARO0,48.63,88855
6.445,BARO0,48.65,88855
6.455,BARO0,48.64,88826
