ts,latitude,longitude,satellites
34.18,35.34551239013672,-117.81207275390625,6
34.38,35.345523834228516,-117.81207275390625,7
34.58,35.345542907714844,-117.81205749511719,7
35.18,35.34563064575195,-117.81192016601562,8
35.38,35.345645904541016,-117.81190490722656,8
35.78,35.345664978027344,-117.81184387207031,7
35.98,35.34568786621094,-117.811767578125,7
36.38,35.345699310302734,-117.81170654296875,11
36.78,35.345706939697266,-117.81168365478516,6
36.98,35.345706939697266,-117.81168365478516,6
37.18,35.345703125,-117.8116226196289,7
37.38,35.34569549560547,-117.81161499023438,7
37.78,35.34568786621094,-117.81161499023438,5
37.98,35.34567642211914,-117.81163787841797,5
38.18,35.34567642211914,-5.6970212352923334e+26,5
38.38,35.34563446044922,-117.81172180175781,5
38.98,35.34564971923828,-117.81175231933594,8
39.18,35.34564971923828,-117.81175231933594,8
39.78,35.345706939697266,-117.81173706054688,8
39.98,35.345706939697266,-117.81173706054688,8
40.08,35.345733642578125,-117.8117446899414,8
40.38,35.345733642578125,-117.8117446899414,7
40.78,35.345787048339844,-117.81172943115234,6
40.98,35.345787048339844,-117.81172943115234,6
41.78,35.34589385986328,-117.81157684326172,7
41.98,35.34589385986328,-117.81157684326172,7
42.08,35.34592056274414,-117.81151580810547,7
42.38,35.34593963623047,-117.81145477294922,6
42.78,35.34593963623047,-117.81143188476562,6
42.98,35.34593963623047,-117.8113784790039,6
43.18,35.34593963623047,-117.8113784790039,7
43.38,35.34592819213867,-117.81134796142578,9
43.58,35.345924377441406,-117.81132507324219,9
43.78,35.345924377441406,-117.8113021850586,6
43.98,35.345924377441406,-117.8113021850586,6
44.08,35.34592056274414,-117.81128692626953,6
44.38,35.345909118652344,-117.8112564086914,7
44.78,35.34591293334961,-117.81123352050781,8
44.98,35.34589385986328,-117.81124877929688,8
45.18,35.34589385986328,-117.81124877929688,9
45.38,35.34590148925781,-117.81124114990234,7
45.98,35.345951080322266,-117.81120300292969,9
46.18,35.345951080322266,-117.81120300292969,8
46.38,35.345951080322266,-117.81120300292969,8
46.78,35.34603500366211,-117.8111572265625,6
46.98,35.34603500366211,-117.8111572265625,6
47.58,35.346168518066406,-117.81109619140625,6
48.08,35.346214294433594,-117.81107330322266,6
48.38,35.346248626708984,-117.8110122680664,7
48.58,35.34626770019531,-117.81099700927734,7
48.98,35.3463134765625,-117.81092834472656,8
49.18,35.34633255004883,-117.8108901977539,8
49.38,35.34633255004883,-117.8108901977539,10
49.78,35.34635543823242,-117.81083679199219,7
49.98,35.34635543823242,-117.81083679199219,7
50.08,35.34636688232422,-117.810791015625,7
50.78,35.34634780883789,-117.81076049804688,6
50.98,35.34634780883789,-117.81076049804688,6
51.38,35.34635925292969,-117.81074523925781,9
52.08,35.34638214111328,-117.81071472167969,9
52.38,35.34642028808594,-117.8106918334961,10
52.78,35.346431732177734,-117.81068420410156,9
52.98,35.346431732177734,-117.81068420410156,9
53.18,35.34648513793945,-117.8106460571289,10
53.38,35.34650421142578,-117.81063079833984,10
53.78,35.34651184082031,-117.81062316894531,7
53.98,35.34651184082031,-117.81062316894531,7
54.08,35.34654235839844,-117.81060028076172,7
54.38,35.346561431884766,-117.81057739257812,8
54.78,35.3465690612793,-117.8105697631836,6
54.98,35.34658432006836,-117.81053161621094,6
55.18,35.34658432006836,-117.81053161621094,7
55.68,35.34658432006836,-117.81048583984375,7
55.78,35.34658432006836,-117.81046295166016,9
55.98,35.34659194946289,-117.8104248046875,9
56.18,35.34659194946289,-117.8104248046875,10
56.38,35.34657669067383,-117.81037902832031,9
56.58,35.34657287597656,-117.81034851074219,9
57.18,35.3465690612793,-117.8102798461914,9
57.38,35.34656524658203,-117.81024932861328,8
57.58,35.34656524658203,-117.81022644042969,10
57.78,35.346561431884766,-117.8102035522461,9
57.98,35.3465576171875,-117.81018829345703,9
58.58,35.34654998779297,-117.81017303466797,9
58.78,35.34654235839844,-117.81017303466797,10
58.98,35.34654235839844,-117.81017303466797,9
59.18,35.34653854370117,-117.81017303466797,10
59.38,35.34653854370117,-117.81017303466797,10
59.98,35.34654235839844,-117.81016540527344,0
60.18,35.34654235839844,-117.81016540527344,10
61.38,35.346649169921875,-117.81011199951172,10
61.58,35.3466796875,-117.81006622314453,10
61.78,35.34669876098633,-117.81004333496094,11
62.38,35.34673309326172,-117.80998229980469,11
63.58,35.34672164916992,-117.80989837646484,11
63.78,35.346717834472656,-117.80989074707031,11
64.58,35.34672164916992,-117.80988311767578,11
65.58,35.34674835205078,-117.80985260009766,11
65.78,35.34675598144531,-117.80984497070312,12
65.98,35.34676742553711,-117.80982971191406,12
66.58,35.34678268432617,-117.80976867675781,12
