TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
25017;0;0;0;5661.00;72.00;100.00;7.74;65.09;1.45
25024;0;0;0;5708.00;72.00;100.00;7.74;65.09;2.08
25029;0;0;0;5708.00;102.00;100.00;7.74;65.09;2.08
25036;0;0;0;5708.00;102.00;100.00;7.74;65.09;1.58
25042;0;0;0;5708.00;108.00;100.00;7.74;65.09;1.50
25047;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.50
25053;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.48
25058;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.48
25064;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.48
25069;0;0;0;5708.00;82.00;100.00;7.74;65.09;1.48
25074;0;0;0;5708.00;82.00;100.00;7.74;65.09;1.46
25080;0;0;0;5708.00;108.00;100.00;7.74;65.09;1.46
25085;0;0;0;5708.00;108.00;100.00;7.74;65.09;1.47
25091;0;0;0;5708.00;102.00;100.00;7.74;65.09;1.47
25096;0;0;0;5708.00;102.00;100.00;7.74;65.09;1.47
25102;0;0;0;5708.00;72.00;100.00;7.74;65.09;1.47
25107;0;0;0;5708.00;72.00;100.00;7.74;65.09;1.44
25113;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.44
25119;0;0;0;5708.00;115.00;100.00;7.74;65.09;1.47
25124;0;0;0;5701.00;105.00;100.00;7.74;65.09;1.47
25130;0;0;0;5701.00;105.00;100.00;7.74;65.09;1.47
25136;0;0;0;5701.00;58.00;100.00;7.74;65.09;1.44
25142;0;0;0;5701.00;58.00;100.00;7.74;65.09;1.44
25147;0;0;0;5701.00;105.00;100.00;7.74;65.09;1.47
25153;0;0;0;5701.00;105.00;100.00;7.74;65.09;1.47
25158;0;0;0;5701.00;95.00;100.00;7.74;65.09;1.47
25164;0;0;0;5701.00;75.00;100.00;7.74;65.09;1.47
25170;0;0;0;5701.00;75.00;100.00;7.74;65.09;1.44
25175;0;0;0;5701.00;68.00;100.00;7.74;65.09;1.44
25180;0;0;0;5701.00;68.00;100.00;7.74;65.09;1.45
25186;0;0;0;5701.00;58.00;100.00;7.74;65.09;1.45
25191;0;0;0;5701.00;58.00;100.00;7.74;65.09;1.44
25197;0;0;0;5701.00;58.00;100.00;7.74;65.09;1.44
25203;0;0;0;5701.00;95.00;100.00;7.74;65.09;1.46
25209;0;0;0;5701.00;112.00;100.00;7.74;65.09;1.46
25215;0;0;0;5701.00;112.00;100.00;7.74;65.09;1.47
25220;0;0;0;5701.00;115.00;100.00;7.74;65.09;1.47
25226;0;0;0;5694.00;115.00;100.00;7.74;65.09;2.07
25231;0;0;0;5694.00;95.00;100.00;7.74;65.09;2.07
25237;0;0;0;5694.00;95.00;100.00;7.74;65.09;1.57
25242;0;0;0;5694.00;58.00;100.00;7.74;65.09;1.57
25247;0;0;0;5694.00;58.00;100.00;7.74;65.09;1.46
25253;0;0;0;5694.00;98.00;100.00;7.74;65.09;1.46
25258;0;0;0;5694.00;98.00;100.00;7.74;65.09;1.46
25264;0;0;0;5694.00;122.00;100.00;7.74;65.09;1.46
25269;0;0;0;5694.00;122.00;100.00;7.74;65.09;1.49
25275;0;0;0;5694.00;112.00;100.00;7.74;65.09;1.49
25280;0;0;0;5694.00;112.00;100.00;7.74;65.09;1.48
25286;0;0;0;5694.00;75.00;100.00;7.74;65.09;1.48
25291;0;0;0;5694.00;75.00;100.00;7.74;65.09;1.45
25297;0;0;0;5694.00;51.00;100.00;7.74;65.09;1.45
25303;0;0;0;5694.00;51.00;100.00;7.74;65.09;1.44
25309;0;0;0;5694.00;112.00;100.00;7.74;65.09;1.44
25315;0;0;0;5694.00;92.00;100.00;7.74;65.09;1.47
25320;0;0;0;5694.00;92.00;100.00;7.74;65.09;1.46
25326;0;0;0;5647.00;112.00;100.00;7.74;65.09;1.46
25334;0;0;0;5647.00;112.00;100.00;7.74;65.09;1.47
25340;0;0;0;5647.00;61.00;100.00;7.73;65.09;1.47
25346;0;0;0;5647.00;61.00;100.00;7.73;65.09;1.45
25352;0;0;0;5647.00;108.00;100.00;7.73;65.09;1.45
25357;0;0;0;5647.00;108.00;100.00;7.73;65.09;1.47
25363;0;0;0;5647.00;55.00;100.00;7.73;65.09;1.45
25368;0;0;0;5647.00;55.00;100.00;7.73;65.09;1.45
25373;0;0;0;5647.00;98.00;100.00;7.73;65.09;1.46
25379;0;0;0;5647.00;98.00;100.00;7.73;65.09;1.46
25384;0;0;0;5647.00;58.00;100.00;7.73;65.09;1.44
25390;0;0;0;5647.00;58.00;100.00;7.73;65.09;1.44
25395;0;0;0;5647.00;105.00;100.00;7.73;65.09;1.47
25401;0;0;0;5647.00;105.00;100.00;7.73;65.09;1.47
25406;0;0;0;5647.00;115.00;100.00;7.73;65.09;1.48
25412;0;0;0;5647.00;115.00;100.00;7.73;65.09;1.48
25417;0;0;0;5647.00;51.00;100.00;7.73;65.09;1.44
25423;0;0;0;5647.00;51.00;100.00;7.73;65.09;1.44
25428;0;0;0;5647.00;108.00;100.00;7.73;65.09;1.47
25434;0;0;0;5647.00;108.00;100.00;7.73;65.09;1.47
25439;0;0;0;5647.00;102.00;100.00;7.73;65.09;1.47
25445;0;0;0;5647.00;102.00;100.00;7.73;65.09;1.47
25453;0;0;0;5647.00;68.00;100.00;7.73;65.09;1.46
25459;0;0;0;5647.00;92.00;100.00;7.73;65.09;1.46
25464;0;0;0;5647.00;92.00;100.00;7.73;65.09;1.46
25470;0;0;0;5647.00;68.00;100.00;7.73;65.09;1.46
