TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS
9609736;45;53;50;5298;98;
9609936;45;53;50;5321;112;
9610136;45;53;50;5313;96;
9610336;45;53;50;5312;88;
9610535;45;53;50;5300;104;
9610735;45;53;50;5313;121;
9610934;45;53;50;5321;101;
9611134;45;53;50;5291;97;
9611334;45;53;50;5297;95;
9611534;45;53;50;5306;103;
9611735;45;53;50;5323;102;
9611935;45;53;50;5319;95;
9612134;45;53;50;5320;98;
9612334;45;53;50;5316;99;
9612534;45;53;50;5307;86;
9612734;45;53;50;5307;79;
9612933;45;53;50;5310;90;
9613133;45;53;50;5307;100;
9613333;45;53;50;5307;104;
9613532;45;53;50;5311;99;
9613732;45;53;50;5294;82;
9613933;45;53;50;5311;90;
9614134;45;53;50;5319;106;
9614334;45;53;50;5309;98;
9614534;45;53;50;5309;100;
9614733;45;53;50;5312;97;
9614933;45;53;50;5309;101;
9615132;45;53;50;5327;104;
9615332;45;53;50;5311;97;
9615532;45;53;50;5318;92;
9615732;45;53;50;5297;107;
9615932;45;53;50;5303;104;
9616133;45;53;50;5311;101;
9616332;45;53;50;5318;106;
9616532;45;53;50;5313;95;
9616732;45;53;50;5319;92;
9616933;45;53;50;5319;104;
9617133;45;53;50;5322;109;
9617334;45;53;50;5328;106;
9617534;45;53;50;5307;105;
9617735;45;53;50;5306;106;
9617935;45;53;50;5313;98;
9618135;45;53;50;5325;83;
9618335;45;53;50;5303;96;
9618535;45;53;50;5301;101;
9618734;45;53;50;5321;80;
9618934;45;53;50;5306;107;
9619134;45;53;49;5310;95;
9619334;45;53;49;5311;94;
9619534;45;53;49;5319;88;
9619733;45;53;49;5307;90;
9619933;45;53;49;5315;89;
9620133;45;53;49;5311;98;
9620333;45;53;49;5320;102;
9620532;45;53;49;5297;89;
9620733;45;53;49;5314;103;
9620933;45;53;49;5311;110;
9621133;45;53;49;5306;86;
9621332;45;53;49;5303;101;
9621533;45;53;49;5313;89;
9621734;45;53;49;5294;90;
9621933;45;53;49;5317;100;
9622134;45;53;49;5305;102;
9622335;45;53;49;5303;87;
9622535;45;53;49;5297;98;
9622734;45;53;49;5310;86;
9622934;45;53;49;5308;105;
9623134;45;53;49;5304;98;
9623334;45;53;49;5296;94;
9623534;45;53;49;5307;106;
9623736;45;53;49;5326;82;
9623935;45;53;49;5313;93;
9624137;45;53;49;5307;90;
9624336;45;53;49;5315;96;
9624537;45;53;49;5309;102;
9624737;45;53;49;5307;92;
9624938;45;53;49;5311;108;
9625137;45;53;49;5309;84;
9625338;45;53;49;5311;90;
9625537;45;53;49;5324;88;
9625737;45;53;49;5318;105;
9625938;45;53;49;5311;94;
9626138;45;53;49;5319;96;
9626337;45;53;49;5309;100;
9626537;45;53;49;5304;98;
9626737;45;53;50;5311;96;
9626937;45;53;50;5309;100;
9627136;45;53;50;5317;88;
9627336;45;53;50;5299;90;
9627537;45;53;50;5298;84;
9627737;45;53;50;5307;102;
9627937;45;53;50;5310;96;
9628136;45;53;50;5301;104;
9628337;45;53;50;5312;109;
9628537;45;53;50;5302;104;
9628737;45;53;50;5311;111;
9628938;45;53;50;5309;106;
9629138;45;53;50;5311;96;
9629337;45;53;50;5303;101;
9629537;45;53;50;5314;86;
9629737;45;53;50;5306;104;
9629938;45;53;50;5304;97;
9630137;45;53;50;5313;97;
9630337;45;53;50;5313;109;
9630537;45;53;50;5303;98;
9630738;45;53;50;5302;99;
9630938;45;53;50;5308;112;
9631138;45;53;50;5321;94;
9631338;45;53;50;5312;96;
9631538;45;53;50;5307;92;
9631739;45;53;50;5301;100;
9631939;45;53;50;5333;96;
9632138;45;53;50;5302;105;
9632338;45;53;50;5318;101;
9632537;45;53;50;5313;100;
