Time,ADC_CH0,ADC_CH1,ADC_CH2,ADC_CH3,PWM_Val
18.79,2874,2875,2,739,284
18.86,2874,2875,2,743,398
18.93,2873,2875,2,741,307
19.00,2874,2874,2,741,216
19.07,2874,2875,2,740,330
19.14,2874,2875,2,743,375
19.21,2874,2875,2,739,261
19.28,2874,2875,2,743,261
19.34,2874,2875,2,742,375
19.41,2874,2875,2,742,330
19.48,2874,2875,3,748,216
19.55,2874,2875,3,744,307
19.62,2874,2875,2,743,398
19.69,2874,2875,3,744,284
19.76,2874,2875,2,743,239
19.83,2874,2875,2,740,353
19.91,2874,2875,3,745,353
19.98,2874,2875,3,748,239
20.05,2874,2875,2,740,284
20.11,2874,2875,2,741,398
20.19,2874,2875,3,747,307
20.27,2874,2875,2,740,216
20.33,2874,2875,2,741,330
20.40,2874,2875,3,2641,375
20.47,2874,2875,2,740,261
20.54,2874,2875,2,743,261
20.60,2874,2875,2,741,375
20.67,2874,2875,3,745,330
20.74,2874,2875,2,743,216
20.81,2874,2875,3,744,307
20.88,2874,2875,2,742,398
20.94,2874,2875,2,741,284
21.01,2874,2875,3,745,239
21.09,2874,2875,2,740,353
21.15,2874,2875,2,742,353
21.22,2874,2875,3,746,239
21.29,2874,2875,2,740,284
21.36,2874,2875,2,744,398
21.43,2874,2875,2,740,307
21.50,2874,2875,3,748,216
21.56,2874,2875,2,742,330
21.63,2874,2875,2,740,375
21.70,2874,2875,2,744,261
21.77,2874,2874,2,741,261
21.84,2874,2875,2,743,375
21.91,2874,2875,2,740,330
21.98,2874,2875,3,748,216
22.04,2874,2875,2,742,307
22.11,2874,2874,2,740,398
22.18,2873,2875,2,743,284
22.25,2874,2875,2,740,239
22.32,2874,2874,2,743,353
22.38,2874,2875,2,742,353
22.45,2874,2875,3,746,239
22.52,2874,2875,2,743,284
22.59,2874,2875,2,740,398
22.67,2874,2875,3,744,307
22.74,2874,2875,3,747,216
22.81,2874,2875,3,745,330
22.88,2874,2875,3,748,375
22.96,2874,2875,3,748,261
23.03,2874,2875,2,741,261
23.09,2874,2875,3,745,375
23.16,2874,2875,2,743,330
23.23,2874,2874,2,741,216
23.31,2874,2875,3,745,307
23.38,2874,2875,3,748,398
23.45,2874,2875,3,744,284
23.52,2874,2875,2,743,239
23.58,2874,2875,2,741,353
23.65,2874,2875,2,740,353
23.72,2874,2875,3,748,239
23.79,2873,2875,2,740,284
23.86,2874,2875,2,742,398
23.93,2874,2875,2,740,307
24.00,2874,2875,2,743,216
24.07,2874,2874,3,745,330
24.13,2874,2875,2,741,375
24.20,2874,2875,3,748,261
24.27,2874,2875,3,745,261
24.34,2874,2875,2,744,375
24.41,2874,2875,2,740,330
24.48,2874,2875,2,742,216
24.54,2874,2875,2,742,307
24.61,2874,2875,2,739,398
24.68,2874,2875,2,743,284
24.76,2874,2875,2,743,239
24.83,2874,2875,2,741,353
24.90,2874,2874,2,742,353
24.96,2875,2875,2,743,239
25.03,2874,2875,2,739,284
25.10,2874,2875,2,742,398
25.18,2874,2875,2,743,307
25.25,2874,2874,2,740,216
25.32,2874,2875,2,742,330
25.40,2874,2875,3,744,375
25.48,2874,2874,2,743,261
25.55,2874,2875,2,741,261
25.61,2874,2875,3,745,375
25.68,2874,2875,2,743,330
25.75,2874,2875,3,744,216
25.82,2874,2875,2,743,307
25.88,2874,2875,3,747,398
25.95,2874,2875,2,740,284
26.02,2874,2874,2,744,239
26.09,2875,2875,2,740,353
26.16,2874,2875,2,743,353
26.23,2874,2875,2,740,239
26.30,2874,2875,2,743,284
26.38,2874,2875,2,742,398
26.45,2875,2875,2,740,307
26.52,2874,2875,3,748,216
26.59,2874,2875,2,741,330
26.66,2874,2875,2,743,375
26.74,2874,2875,3,748,261
26.81,2874,2875,2,741,261
26.87,2874,2875,2,740,375
26.94,2874,2875,2,743,330
27.01,2874,2875,3,745,216
27.08,2874,2875,2,742,307
27.14,2874,2875,3,747,398
27.21,2875,2875,2,739,284
27.28,2874,2875,2,743,239
27.35,2874,2875,2,740,353
27.42,2874,2875,2,741,353
27.49,2874,2875,2,742,239
27.56,2874,2875,2,742,284
27.65,2874,2875,2,741,398
27.72,2874,2875,2,741,307
27.79,2874,2875,2,742,216
27.85,2874,2875,3,745,330
27.92,2874,2875,2,744,375
27.99,2874,2875,2,740,261
28.06,2874,2875,2,742,261
28.12,2874,2875,2,743,375
28.19,2874,2875,2,740,330
28.26,2874,2875,3,747,216
28.34,2874,2875,2,742,307
28.41,2874,2875,2,742,398
28.47,2874,2875,2,740,284
28.55,2874,2875,2,739,239
28.62,2874,2875,2,743,353
28.69,2874,2875,2,740,353
28.76,2874,2875,3,749,239
28.83,2874,2875,2,740,284
28.90,2874,2875,2,741,398
28.96,2874,2875,2,743,307
29.03,2874,2875,2,740,216
29.10,2874,2875,2,742,330
29.17,2874,2875,2,742,375
29.24,2874,2875,2,742,261
29.30,2874,2875,2,743,261
29.38,2874,2875,2,740,375
29.45,2874,2875,2,741,330
29.51,2874,2875,2,740,216
29.58,2874,2875,2,743,307
29.67,2874,2875,2,742,398
29.74,2875,2875,2,743,284
29.81,2874,2875,3,746,239
29.87,2874,2875,3,745,353
29.94,2874,2875,3,748,353
30.01,2874,2875,2,740,239
30.08,2874,2875,2,742,284
30.14,2874,2875,2,743,398
30.21,2875,2875,3,744,307
30.29,2874,2875,2,741,216
30.36,2874,2876,2,742,330
30.42,2874,2875,3,748,375
30.50,2874,2876,3,745,261
30.56,2874,2875,2,743,261
30.64,2874,2875,2,743,375
30.71,2874,2875,2,741,330
30.78,2874,2875,2,742,216
30.85,2875,2875,2,743,307
30.92,2874,2875,2,743,398
30.99,2874,2875,2,740,284
31.06,2874,2875,2,742,239
31.12,2875,2875,2,743,353
31.19,2875,2875,2,740,353
31.26,2874,2875,3,748,239
31.33,2874,2875,2,740,284
31.40,2874,2876,2,741,398
31.47,2874,2875,2,742,307
31.53,2874,2875,2,740,216
31.60,2875,2875,2,744,330
31.67,2874,2875,2,740,375
31.74,2875,2875,3,747,261
31.82,2874,2875,3,747,261
31.89,2874,2875,2,742,375
31.95,2874,2875,2,740,330
32.02,2875,2876,2,743,216
32.09,2874,2876,2,741,307
32.16,2874,2875,2,741,398
32.22,2875,2875,3,748,284
32.29,2874,2875,2,739,239
32.36,2874,2875,2,743,353
32.44,2875,2875,2,2641,353
