TIMESTAMP;TEMP1;TEMP2;TEMP3;BOARD_TEMP1;BOARD_TEMP2;BOARD_TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO;PRIMER_STATUS;SERVO_STATUS;SERVO_DUMP_STATUS;SERVO_VENT_STATUS;ENGINE_MODE;ENGINE_NEW_VENT_VALVE_STATUS;GPIO_STATE
13656;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13666;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13676;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13687;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13697;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13708;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13768;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13779;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13789;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13800;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13810;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13820;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13831;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13841;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13852;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13862;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13872;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13882;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13893;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13903;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13913;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13925;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13935;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13946;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13956;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13966;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13976;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13987;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
13997;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
14007;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
14018;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65566
14028;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65560
14039;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14049;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14060;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14071;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14081;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14092;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14103;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14113;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14124;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14135;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14145;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14156;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14167;0;0;0;230;235;235;0.0000;0.0000;33.3333;7.3854;59.0677;0.0000;1;0;0;0;1;0;65536
14177;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14188;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14198;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14208;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14219;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14233;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14243;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14254;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14264;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14279;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14289;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14300;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14311;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14321;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14332;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14344;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14354;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14365;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14375;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14386;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14396;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14406;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14417;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14427;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14438;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65540
14448;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14459;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14470;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14480;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14490;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14500;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14511;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14521;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14531;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14542;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14554;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14565;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14575;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14585;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14599;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14609;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14620;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14630;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14641;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14651;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14661;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14672;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14682;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14693;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14703;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14713;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14724;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14734;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14745;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14755;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14765;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14776;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14786;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14796;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14807;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14817;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14827;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14838;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14848;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14858;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14869;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14879;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14890;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14905;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14915;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14926;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14936;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14947;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14957;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65566
14967;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14978;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14988;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
14998;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15009;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15020;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15030;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15040;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15050;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15061;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15072;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15082;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15092;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15103;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15113;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15124;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15134;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15145;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15155;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15167;0;0;0;230;235;235;0.0000;0.0000;27.2727;7.3822;59.0689;0.0000;1;0;0;0;1;0;65536
15177;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15187;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15198;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15208;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15219;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15230;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15240;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15251;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15261;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15271;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65536
15282;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15292;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15302;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15313;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15323;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15334;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15344;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15354;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15365;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15377;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65540
15389;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15400;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15411;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15427;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15438;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15448;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15458;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15469;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15479;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65548
15489;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15501;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15511;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15522;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15532;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15543;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15553;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15564;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15574;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15584;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
15594;0;0;0;230;235;235;0.0000;0.0000;20.0000;7.3806;59.0702;0.0000;1;0;0;0;1;0;65566
