timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 05:19:35.096989,,2,23.0,24.7,26.0,0.58,54.66,101.34,16.2,,,22.5,23.0,22.2,-23.91,0.72,40.63,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.201029,,2,23.0,24.7,26.0,1.35,54.49,101.34,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.16,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.304411,,2,23.0,24.7,26.0,1.19,54.86,100.93,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.06,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.408400,,2,23.0,24.7,26.0,1.25,54.69,99.59,16.2,,,22.5,23.0,22.2,-23.91,0.88,40.43,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.511727,,2,23.0,24.7,26.7,1.42,55.06,102.28,16.2,,,22.5,23.0,22.2,-23.91,1.32,40.06,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.615167,,2,23.0,24.7,26.7,1.39,54.12,103.35,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.43,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.721735,,2,23.0,24.7,26.7,1.02,54.83,100.53,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.831571,,2,23.0,24.7,26.7,1.59,54.49,101.2,16.2,,,22.5,23.0,22.2,-23.91,1.12,40.39,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:35.935557,,2,23.0,24.7,26.7,0.72,55.3,101.2,16.2,,,22.5,23.0,22.2,-23.91,0.82,40.49,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.039453,,2,23.0,24.7,26.7,0.88,55.23,99.32,16.2,,,22.5,23.0,22.2,-23.91,1.42,40.19,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.142725,,2,23.0,24.7,26.7,1.39,54.93,102.28,16.2,,,22.5,23.0,22.2,-23.91,1.19,40.02,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.245949,,2,23.0,24.7,26.7,0.95,55.4,100.8,16.2,,,22.5,23.0,22.2,-23.91,0.78,40.06,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.360206,,2,23.0,24.7,26.7,1.62,54.96,102.41,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.464367,,2,23.0,24.7,26.7,1.35,55.16,102.55,16.2,,,22.5,23.0,22.2,-23.91,1.08,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.568435,,2,23.0,24.7,26.7,1.39,55.13,102.68,16.2,,,22.5,23.0,22.2,-23.91,1.12,40.26,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.673018,,2,23.0,24.7,26.7,1.22,54.93,101.61,16.2,,,22.5,23.0,22.2,-23.91,1.05,39.96,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.778432,,2,23.0,24.7,26.7,0.95,55.33,99.59,16.2,,,22.5,23.0,22.2,-23.91,1.08,40.19,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.882468,,2,23.0,24.7,26.7,1.22,55.67,101.34,16.2,,,22.5,23.0,22.2,-23.91,0.88,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:36.985795,,2,23.0,24.7,26.7,1.15,55.4,103.89,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.66,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.089160,,2,23.0,24.7,26.7,1.08,55.33,102.41,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.49,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.193136,,2,23.0,24.7,27.0,1.25,55.0,100.67,16.2,,,22.5,23.0,22.2,-23.91,1.08,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.297326,,2,23.0,24.7,27.0,0.82,55.57,102.95,16.2,,,22.5,23.0,22.2,-23.91,1.49,40.66,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.414556,,2,23.0,24.7,27.0,1.45,55.97,102.81,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.16,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.522473,,2,23.0,24.7,27.0,1.39,55.63,100.8,16.2,,,22.5,23.0,22.2,-23.91,0.75,40.46,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
