TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
38715;0;0;0;5543.00;115.00;100.00;7.95;64.84;1.48
38721;0;0;0;5543.00;58.00;100.00;7.95;64.84;1.48
38726;0;0;0;5543.00;58.00;100.00;7.95;64.84;1.44
38732;0;0;0;5543.00;61.00;100.00;7.95;64.84;1.44
38737;0;0;0;5543.00;61.00;100.00;7.95;64.84;1.44
38745;0;0;0;5543.00;58.00;100.00;7.95;64.84;1.44
38750;0;0;0;5543.00;61.00;100.00;7.95;64.84;1.44
38756;0;0;0;5543.00;61.00;100.00;7.95;64.84;1.44
38761;0;0;0;5543.00;65.00;100.00;7.95;64.84;1.44
38767;0;0;0;5543.00;65.00;100.00;7.95;64.84;1.45
38772;0;0;0;5543.00;58.00;100.00;7.95;64.84;1.45
38777;0;0;0;5543.00;58.00;100.00;7.95;64.84;1.44
38783;0;0;0;5537.00;112.00;100.00;7.95;64.84;1.44
38788;0;0;0;5537.00;112.00;100.00;7.95;64.84;1.47
38794;0;0;0;5537.00;108.00;100.00;7.95;64.84;1.47
38799;0;0;0;5537.00;108.00;100.00;7.95;64.84;1.48
38805;0;0;0;5537.00;72.00;100.00;7.95;64.84;1.48
38810;0;0;0;5537.00;72.00;100.00;7.95;64.84;1.44
38816;0;0;0;5537.00;85.00;100.00;7.95;64.84;1.44
38821;0;0;0;5537.00;85.00;100.00;7.95;64.84;1.45
38826;0;0;0;5537.00;115.00;100.00;7.95;64.84;1.45
38832;0;0;0;5537.00;115.00;100.00;7.95;64.84;1.47
38839;0;0;0;5537.00;115.00;100.00;7.95;64.84;1.47
38848;0;0;0;5537.00;115.00;100.00;7.95;64.84;1.48
38853;0;0;0;5537.00;65.00;100.00;7.95;64.84;1.46
38859;0;0;0;5537.00;65.00;100.00;7.95;64.84;1.46
38865;0;0;0;5537.00;102.00;100.00;7.95;64.84;1.46
38870;0;0;0;5537.00;65.00;100.00;7.95;64.84;1.46
38876;0;0;0;5537.00;65.00;100.00;7.95;64.84;1.45
38882;0;0;0;5547.00;65.00;100.00;7.95;64.84;1.45
38887;0;0;0;5547.00;92.00;100.00;7.95;64.84;1.46
38893;0;0;0;5547.00;115.00;100.00;7.95;64.84;1.46
38898;0;0;0;5547.00;115.00;100.00;7.95;64.84;1.48
38904;0;0;0;5547.00;98.00;100.00;7.95;64.84;1.48
38909;0;0;0;5547.00;98.00;100.00;7.95;64.84;1.46
38915;0;0;0;5547.00;65.00;100.00;7.95;64.84;1.46
38920;0;0;0;5547.00;65.00;100.00;7.95;64.84;1.45
38926;0;0;0;5547.00;115.00;100.00;7.95;64.84;1.45
38931;0;0;0;5547.00;115.00;100.00;7.95;64.84;1.47
